"	BC094916",1609.544771,-1.217012853,0.199266615,-6.107459852,1.01E-09,1.45E-07
"	Setbp1",73.3433347,2.315928719,0.379747024,6.098609259,1.07E-09,1.51E-07
"	Eef1e1",2491.947542,-1.032276215,0.169600013,-6.086533822,1.15E-09,1.61E-07
"	Gm26614",50.00221316,-2.930166757,0.484823895,-6.043775461,1.51E-09,2.08E-07
"	Ccdc180",151.2557647,-2.395319545,0.396862756,-6.035637025,1.58E-09,2.17E-07
"	Fam188a",1871.534576,-0.956443396,0.158975121,-6.016308633,1.78E-09,2.42E-07
"	Gm13154",144.1816208,2.613194997,0.434985334,6.007547363,1.88E-09,2.53E-07
"	Gm15473",51.85604186,-2.489288301,0.414766297,-6.001664847,1.95E-09,2.59E-07
"	Sell",996.0737284,1.980058483,0.330367267,5.993506872,2.05E-09,2.70E-07
"	Sgk1",2274.156409,-1.389961478,0.232909271,-5.967823734,2.40E-09,3.13E-07
"	Luzp1",114.8658425,2.609600292,0.437571114,5.963831274,2.46E-09,3.18E-07
"	Rgs10",420.3871945,1.559394398,0.262099319,5.949631632,2.69E-09,3.43E-07
"	Txndc5",2493.577296,-1.707089764,0.288398708,-5.919200455,3.24E-09,4.09E-07
"	Smpdl3b",277.1237564,-1.892064226,0.3199547,-5.913537837,3.35E-09,4.19E-07
"	Prdm1",552.6018816,-1.551015166,0.262536089,-5.907816992,3.47E-09,4.30E-07
"	Ctla2b",4065.924526,-0.890778461,0.151029444,-5.898045034,3.68E-09,4.52E-07
"	Rgcc",524.5633698,-1.821907892,0.309076369,-5.894685173,3.75E-09,4.57E-07
"	Trdv4",89.5737214,-2.618028898,0.444822121,-5.885563628,3.97E-09,4.79E-07
"	Rfesd",1349.214886,-0.945579153,0.160876469,-5.877672233,4.16E-09,4.97E-07
"	Fam204a",3307.714095,-1.068684511,0.181952328,-5.873431379,4.27E-09,5.06E-07
"	Gm13139",80.20335073,-2.602224442,0.444673779,-5.851985349,4.86E-09,5.70E-07
"	Ufm1",2760.236782,-0.800146327,0.137610553,-5.814570952,6.08E-09,7.08E-07
"	Hmgn3",138.2877694,2.218046949,0.381614249,5.812274968,6.16E-09,7.11E-07
"	Lilr4b",623.4792652,-2.592996128,0.447011448,-5.800737633,6.60E-09,7.55E-07
"	Ccl4",12068.34714,-2.472414423,0.426458017,-5.79755644,6.73E-09,7.63E-07
"	Sike1",4264.118289,-0.929535296,0.161020689,-5.772769347,7.80E-09,8.77E-07
"	S100a8",74.40904144,4.221590815,0.732558104,5.762806792,8.27E-09,9.22E-07
"	Trip4",914.0401502,-0.75027254,0.13026324,-5.759664332,8.43E-09,9.31E-07
"	Dock5",699.276131,-0.898027592,0.156152544,-5.750963565,8.87E-09,9.73E-07
"	Zfp36",614.0506044,1.238937,0.215608574,5.746232514,9.13E-09,9.92E-07
"	Chil5",464.9621225,-3.19637222,0.557757667,-5.73075443,1.00E-08,1.07E-06
"	Lyz2",247.8452047,3.563840618,0.621822183,5.731285756,9.97E-09,1.07E-06
"	Lpar6",1436.418451,-1.53822706,0.268692365,-5.724863302,1.04E-08,1.10E-06
"	Pole4",4794.240442,-0.935068754,0.163735102,-5.710863098,1.12E-08,1.18E-06
"	Gabarapl2",4340.416876,-1.229762695,0.215451268,-5.707846172,1.14E-08,1.19E-06
"	Odc1",974.3366071,1.25838125,0.221656687,5.677163492,1.37E-08,1.42E-06
"	Gsg2",436.3395359,-1.204753626,0.212376746,-5.672719124,1.41E-08,1.44E-06
"	Abracl",30611.60252,-0.93754545,0.16560314,-5.661398983,1.50E-08,1.53E-06
"	Efhd2",1789.778978,-0.744365063,0.131783734,-5.648383455,1.62E-08,1.64E-06
"	Cirbp",429.5916359,1.072569872,0.190752664,5.622830378,1.88E-08,1.89E-06
"	Ngly1",1828.670069,-0.882872547,0.157083528,-5.620401808,1.91E-08,1.90E-06
"	Crybb1",40.73148208,-2.99066286,0.533993918,-5.600556036,2.14E-08,2.11E-06
"	2310031A07Rik",259.4550822,-2.015514519,0.360321809,-5.593651197,2.22E-08,2.18E-06
"	Socs2",130.8586001,-2.029558331,0.363984282,-5.57595047,2.46E-08,2.40E-06
"	Phf11b",4704.795113,-1.187888715,0.214257189,-5.544218709,2.95E-08,2.86E-06
